product_name,description,part_number,brand,manufacturer,category
"Sanding Belt, 3x21",Premium aluminum oxide sanding belt for wood and metal,3X21-80G,Acme,Acme Abrasives,Abrasives
"Cutting Disc 4.5 inch",Thin cut off wheel for metal and stainless,CD-45-045,Diablo,Diablo Tools,Abrasives
"Grinding Wheel 4.5 in",1/4 thick grinding wheel type 27,GW-45-25,Makita,Makita Corp,Abrasives
"Flap Disc 40 Grit",Zirconia alumina flap disc 4.5",FD-45-40Z,Norton,Saint-Gobain,Abrasives
"Generic Sandpaper",Just some regular sandpaper,SP-100,,Unknown,Abrasives
"Diamond Blade 7 inch",Continuous rim diamond blade for tile,DB-700-CR,DeWalt,Stanley Black & Decker,Abrasives
"Wire Cup Brush 3 in",Crimped wire cup brush for angle grinders,WCB-300-C,Weiler,Weiler Abrasives,Abrasives
"Fiber Disc 7 in",Resin fiber disc 36 grit,RFD-700-36,3M,3M,Abrasives
"Sanding Sponge",Dual angle sanding sponge fine/medium,SS-FAM,,Unknown,Abrasives
"Mounted Point Stone",Aluminum oxide mounted point A1 shape,MP-A1-AO,,Unknown,Abrasives
